,Tickers,Market Cap,Volume,Sector,Industry,Market_Cap_Thres,Industry_Cap_Thres,Sector_Cap_Thres,Market_Cap_Pass,Industry_Cap_Pass,Sector_Cap_Pass
0,A,48702022828.0,1444785,Capital Goods,Electrical Products,4375301206.200001,1793289971.5,1381236600.0,True,True,True
1,APH,50246294244.0,1743317,Capital Goods,Electrical Products,4375301206.200001,1793289971.5,1381236600.0,True,True,True
2,ITRI,3266845632.0,224041,Capital Goods,Electrical Products,4375301206.200001,1793289971.5,1381236600.0,False,True,True
3,MEI,1821135404.0,203983,Capital Goods,Electrical Products,4375301206.200001,1793289971.5,1381236600.0,False,True,True
4,TER,23829604465.0,1009770,Capital Goods,Electrical Products,4375301206.200001,1793289971.5,1381236600.0,True,True,True
5,ROLL,6673186542.0,121445,Capital Goods,Metal Fabrications,4375301206.200001,669517643.0,1381236600.0,True,True,True
6,TKR,5837391295.0,715494,Capital Goods,Metal Fabrications,4375301206.200001,669517643.0,1381236600.0,True,True,True
7,AAON,4062648045.0,130347,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,False,True,True
8,AGCO,9584760878.0,595182,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,True,True,True
9,AIMC,3851681351.0,80754,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,False,True,True
10,AIT,4058796635.0,130946,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,False,True,True
11,AMAT,141597000000.0,5776734,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,True,True,True
12,AOS,13065616953.0,891616,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,True,True,True
13,DE,111269000000.0,1011095,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,True,True,True
14,DOV,24889187118.0,564688,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,True,True,True
15,EMR,58237676000.0,1824418,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,True,True,True
16,ETN,68479480000.0,1188389,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,True,True,True
17,GLW,33385338916.0,3228366,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,True,True,True
18,GRMN,27517438771.0,500438,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,True,True,True
19,HWM,13658158885.0,1584996,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,True,True,True
20,HXL,5218229627.0,482583,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,True,True,True
21,IIVI,6920313200.0,760168,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,True,True,True
22,ITW,74888802178.0,1078541,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,True,True,True
23,KMT,3298959825.0,191981,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,False,True,True
24,LECO,8518896077.0,82297,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,True,True,True
25,LHX,43228470821.0,1813897,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,True,True,True
26,LII,11698855901.0,271245,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,True,True,True
27,LNN,1725060979.0,17672,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,False,True,True
28,LPL,6168742668.0,193041,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,True,True,True
29,MKSI,9234463271.0,558054,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,True,True,True
30,MSM,4743605255.0,243457,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,True,True,True
31,MVIS,1524524395.0,3179638,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,False,True,True
32,NDSN,15542737200.0,113468,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,True,True,True
33,OSIS,1713648156.0,50303,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,False,True,True
34,ROG,5052758109.0,457126,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,True,True,True
35,ROK,38808283495.0,348249,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,True,True,True
36,SPXC,2983204932.0,71094,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,False,True,True
37,SXI,1453037838.0,68937,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,False,True,True
38,TDY,20731694007.0,196256,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,True,True,True
39,TEL,53735771846.0,1553855,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,True,True,True
40,TNC,1558895682.0,22753,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,False,True,True
41,TRMB,21759917242.0,888292,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,True,True,True
42,VICR,7033159140.0,88966,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,True,True,True
43,VSH,3043861638.0,493789,Capital Goods,Industrial Machinery/Components,4375301206.200001,1386047839.0,1381236600.0,False,True,True
44,EME,6942939871.0,85638,Capital Goods,Engineering & Construction,4375301206.200001,1132312197.0,1381236600.0,True,True,True
