,ADI,AMD,AMKR,ENTG,FORM,FSLR,INTC,IPGP,KLIC,LSCC,MCHP,MPWR,MRVL,MU,OLED,ONTO,POWI,RMBS,SIMO,SLAB,SMTC,SPWR,STM,SWKS,TSEM,TSM,TXN,UCTT,UMC,XLNX,XPER
2021-06-10,166.0187297224,81.56,22.9975667794,115.4211476056,34.05,80.4,56.6212729132,205.21,55.5321335607,50.88,76.2758701034,342.0134399273,51.6609739036,79.0835645461,218.9419507582,73.61,79.8797312632,19.58,63.5785281973,137.4,66.39,26.44,37.6612310223,168.2873334608,27.27,116.8143711459,185.8393578713,56.59,9.203263582,128.5503967216,22.3755840763
2021-06-11,166.2766768344,81.31,23.5057452481,116.2600656985,33.82,79.59,57.0850581741,203.6,56.3557874359,51.41,76.5989886876,345.7582580232,51.9601687331,79.1434158815,221.0351813368,74.98,80.5080772576,19.9,63.805912142,138.89,66.3,25.9,38.0396357761,169.9860014274,27.58,116.8242505751,186.5016577105,57.42,9.1741700196,128.260936243,22.2860419435
2021-06-14,167.1100444272,81.55,23.4858166807,119.2062661435,34.98,78.61,57.4205624054,206.85,56.2168578666,53.17,77.4291548964,350.3695632849,53.6556061006,80.2905664772,214.5561343078,74.8,83.8193609109,20.06,64.6561303701,142.36,67.06,26.04,38.5574528076,172.6780424739,28.17,119.5312141825,188.0733841947,57.87,9.2323571444,128.0912525141,21.6890943914
2021-06-15,166.29651892,80.47,23.5555666666,119.5158668683,34.57,76.17,57.2232069752,207.07,56.1374695413,52.35,76.5293939156,344.015324069,53.4461697199,81.9763790918,214.4663409942,74.26,82.4030889869,20.27,64.1321586714,141.05,66.65,24.02,37.860391419,170.5224228905,27.8,118.009782082,186.4423472772,56.42,9.271148561,126.8036524537,21.3707223637
2021-06-16,164.7091520767,80.11,23.2566381556,119.7156092713,35.03,77.4,56.4633885691,205.72,56.4748699239,51.24,75.7539093134,342.29230936,53.9647740912,80.2905664772,210.7848151369,73.32,81.9841916573,21.94,63.084215274,140.08,65.86,24.62,37.6711890421,169.8469291962,27.58,116.597023703,185.5724609212,56.21,9.1159828947,125.9452524135,21.5796540069
2021-06-17,164.9075729321,84.56,23.4559238296,119.7355835116,34.85,78.53,56.4239174831,209.09,56.0382341346,51.52,74.6801614027,354.6422413783,54.9720633507,80.4401948158,214.8055601788,71.87,82.3133252734,22.25,62.9062626216,142.24,65.92,26.72,37.6911050818,171.3171213544,27.72,118.1295830046,185.4933803434,54.64,9.3487313942,132.0937922365,22.2860419435
2021-06-18,160.9093926956,84.65,22.8680310913,117.0889966712,33.61,76.97,54.9338839854,203.44,53.5573489684,50.75,72.3885049821,352.5308013881,54.1243446669,76.7593376869,208.4501889836,68.57,78.6130655283,22.27,62.0362718765,140.97,63.41,25.37,35.7990813128,167.194623073,26.61,114.827270115,180.9660172633,49.88,8.8832343953,131.6745736122,21.3906206154
2021-06-21,162.8539170786,82.59,22.8979239424,117.7081981206,33.5,78.19,55.1312394155,204.41,55.6313689674,51.75,73.4473397274,352.680195727,54.6728685211,76.8790403578,213.2192116387,69.31,78.7925929553,22.57,62.6788786768,141.3,64.18,25.41,36.0181577492,170.403218121,27.15,113.1909889535,183.9710792204,49.71,8.9899107909,127.2927408488,21.2214854757
2021-06-22,162.3777070256,83.58,23.1171381838,120.544540244,33.19,78.38,55.1312394155,203.41,54.9466446615,52.22,72.5177524158,352.2917704458,54.2141031158,77.4675784895,213.7180633809,69.36,78.3238268959,22.67,61.8780917411,143.02,64.09,25.51,36.3273692946,170.6515613909,27.24,113.3794092085,184.8903909375,51.51,8.8735365411,129.7781084071,21.3010784826
2021-06-23,162.3380228545,83.82,22.9975667794,118.4172836515,33.68,80.19,54.5293053535,206.46,55.2145802595,53.02,72.8060736141,348.6664678211,54.3836468525,78.8242087592,215.2345726771,69.51,78.9721203823,23.08,62.78762752,144.45,64.4,27.05,35.9782594853,172.0820186259,27.35,115.0851083587,183.9611941481,51.98,8.999608645,130.6165456557,21.7388400208
